participant,domain,A,B,D,rating
1,living,0,0,0,0
1,living,0,0,1,1
1,living,0,1,0,1
1,living,0,1,1,2
1,living,1,0,0,3
1,living,1,0,1,3
1,living,1,1,0,5
1,living,1,1,1,6
2,living,0,0,0,0
2,living,0,0,1,0
2,living,0,1,0,3
2,living,0,1,1,0
2,living,1,0,0,1
2,living,1,0,1,1
2,living,1,1,0,3
2,living,1,1,1,5
3,living,0,0,0,0
3,living,0,0,1,1
3,living,0,1,0,4
3,living,0,1,1,3
3,living,1,0,0,2
3,living,1,0,1,5
3,living,1,1,0,2
3,living,1,1,1,6
4,living,0,0,0,1
4,living,0,0,1,0
4,living,0,1,0,2
4,living,0,1,1,3
4,living,1,0,0,1
4,living,1,0,1,1
4,living,1,1,0,3
4,living,1,1,1,5
5,living,0,0,0,0
5,living,0,0,1,0
5,living,0,1,0,2
5,living,0,1,1,1
5,living,1,0,0,0
5,living,1,0,1,3
5,living,1,1,0,3
5,living,1,1,1,5
6,living,0,0,0,1
6,living,0,0,1,0
6,living,0,1,0,2
6,living,0,1,1,3
6,living,1,0,0,2
6,living,1,0,1,1
6,living,1,1,0,6
6,living,1,1,1,4
7,living,0,0,0,0
7,living,0,0,1,1
7,living,0,1,0,2
7,living,0,1,1,4
7,living,1,0,0,1
7,living,1,0,1,4
7,living,1,1,0,4
7,living,1,1,1,5
8,living,0,0,0,0
8,living,0,0,1,0
8,living,0,1,0,2
8,living,0,1,1,2
8,living,1,0,0,3
8,living,1,0,1,1
8,living,1,1,0,6
8,living,1,1,1,5
9,living,0,0,0,0
9,living,0,0,1,3
9,living,0,1,0,3
9,living,0,1,1,0
9,living,1,0,0,3
9,living,1,0,1,3
9,living,1,1,0,3
9,living,1,1,1,3
10,living,0,0,0,0
10,living,0,0,1,4
10,living,0,1,0,3
10,living,0,1,1,4
10,living,1,0,0,2
10,living,1,0,1,3
10,living,1,1,0,2
10,living,1,1,1,4
11,living,0,0,0,0
11,living,0,0,1,1
11,living,0,1,0,1
11,living,0,1,1,3
11,living,1,0,0,0
11,living,1,0,1,3
11,living,1,1,0,3
11,living,1,1,1,5
12,living,0,0,0,0
12,living,0,0,1,0
12,living,0,1,0,3
12,living,0,1,1,3
